,rule,type,coef,support,importance,category
0,mean_all_M12_FME_1020_RAT,general,0.0005230672726834725,1.0,0.00016771080850037012,
1,mean_all_M12_FME_30_RAT,general,0.006302450074142862,1.0,0.0020206461766383954,
2,mean_all_M12_FME_40_RAT,general,4.887729743670216e-05,1.0,1.5671453248949833e-05,
3,mean_all_M12_MAL_50_RAT,general,0.6560987512012586,1.0,0.21036394425164567,
4,mean_all_M12_SME_BZN_SAA_PCE_RT,general,-0.16561168049243666,1.0,0.13940581340960811,
5,mean_all_M1_SME_RY_CNT_RAT,general,-0.2071408080230552,1.0,0.1298405844303779,
6,mean_all_M1_SME_RY_SAA_RAT,general,-0.11438425392450971,1.0,0.07869189057668674,
7,mean_all_MCT_UE_CLN_NEW_RAT,general,0.9113365034097618,1.0,0.24655515036094383,
8,mean_all_MCT_UE_CLN_REU_RAT,general,0.849727060375501,1.0,0.22988051180798078,
9,mean_all_RC_M1_AV_NP_AT,general,0.01649500612517175,1.0,0.012611770316876821,
10,mean_all_RC_M1_UE_CUS_CN,general,-0.028208980238342212,1.0,0.02367113689696068,
11,slope_all_M12_FME_1020_RAT,general,-0.433156932622497,1.0,0.007463882900825839,
12,slope_all_M12_FME_30_RAT,general,-0.13233919377214462,1.0,0.0022803688734528327,
13,slope_all_M12_FME_40_RAT,general,-0.48275133294948547,1.0,0.008318377504249772,
14,slope_all_M12_FME_50_RAT,general,-0.464527394758539,1.0,0.008004572637135504,
15,slope_all_M12_FME_60_RAT,general,-0.8444817834844172,1.0,0.014552190301012766,
16,slope_all_M12_MAL_1020_RAT,general,-1.349643021105056,1.0,0.023256226748066145,
17,slope_all_M12_MAL_30_RAT,general,-1.0910671841351565,1.0,0.018800547708017534,
18,slope_all_M12_MAL_40_RAT,general,-0.770885208955314,1.0,0.0132831371588789,
19,slope_all_M12_MAL_50_RAT,general,-0.19075124681220493,1.0,0.003286807697708079,
20,slope_all_M12_MAL_60_RAT,general,-0.19564217260879085,1.0,0.003371114897082623,
21,slope_all_M12_SME_BZN_SAA_PCE_RT,general,4.85071420519226,1.0,0.15015837899161819,
22,slope_all_M12_SME_RY_SAA_PCE_RT,general,-6.5284490149390075,1.0,0.24330661723936212,
23,slope_all_M1_SME_RY_CNT_RAT,general,-4.962242755103468,1.0,0.09836606418097614,
24,slope_all_M1_SME_RY_SAA_RAT,general,3.029899044398252,1.0,0.06939343292324573,
25,slope_all_MCT_UE_CLN_NEW_RAT,general,16.435000702804633,1.0,0.2927784943065083,
26,slope_all_MCT_UE_CLN_REU_RAT,general,16.182075032788546,1.0,0.28831642482903824,
27,slope_all_RC_M1_AV_NP_AT,general,4.878506579461374,1.0,0.13948294536087913,
28,slope_all_RC_M1_SHC_FLP_UE_CLN_RAT,general,1.4315309402723606,1.0,0.044204444425702864,
29,slope_all_RC_M1_SHC_RSD_UE_CLN_RAT,general,1.1962491159682205,1.0,0.036938698020582715,
30,slope_all_RC_M1_SHC_WP_UE_CLN_RAT,general,0.3150883444341907,1.0,0.009729642647812075,
31,slope_all_RC_M1_TO_UE_CT,general,-0.27637870645136103,1.0,0.007837167045708677,
32,slope_all_RC_M1_UE_CUS_CN,general,-4.611131929747677,1.0,0.12992001203357378,
33,slope_all_M1_SME_RY_SAA_RAT <= -0.0587,general,0.059926695937460576,0.012186379928315413,0.0065749914946919615,
34,slope_all_RC_M1_SHC_FLP_UE_CLN_RAT <= 0.15909,general,-0.7453381796238417,0.9949820788530466,0.052665100078419354,
35,slope_all_RC_M1_SHC_WP_UE_CLN_RAT <= 0.16031,general,-0.44466592733527033,0.9949820788530466,0.03141979869647088,
36,slope_all_M1_SME_RY_SAA_RAT > -0.04543,general,-0.09069643540461823,0.9682198327359618,0.015909454724789607,
37,mean_all_M12_MAL_1020_RAT <= 0.1542,general,-0.5465812849540657,0.9818399044205496,0.07298509232396239,
38,slope_all_M1_SME_RY_SAA_RAT <= -0.08176,general,1.047409621572286,0.006690561529271207,0.08538667940312011,
39,mean_all_RC_M1_SAA <= 1.72939,general,-1.0370023174607852,0.9904420549581839,0.10089659907749073,
40,slope_all_M1_SME_RY_CNT_RAT > -0.04242,general,-0.20207352675270684,0.978494623655914,0.029313128149435652,
41,slope_all_RC_M1_TO_UE_CT > 0.01479,general,0.35931069630710283,0.2126642771804062,0.14702710175035832,
42,slope_all_M12_SME_BZN_SAA_PCE_RT <= -0.06902,general,0.9620771619245158,0.014097968936678614,0.11342402655052321,
43,mean_all_M12_FME_1020_RAT <= 0.15417,general,-0.3583853413669254,0.9627240143369176,0.06789154757315921,
44,slope_all_M12_FME_1020_RAT <= -0.00033,general,0.34528113543655764,0.07885304659498207,0.09305646484848175,
45,mean_all_RC_M1_UE_CUS_CN > -1.21967,general,-0.5456521141581623,0.9096774193548387,0.15640755181337965,
46,mean_all_M12_FME_50_RAT <= -3.05985,general,2.3246637949685223,0.011230585424133811,0.24496772087517366,
47,slope_all_RC_M1_AV_NP_AT <= 0.07794,general,-0.6226567706560833,0.9739545997610514,0.09917074806276259,
48,slope_all_RC_M1_TO_UE_CT > 0.01424,general,0.8073238334279493,0.21911589008363203,0.3339473512464231,
49,slope_all_MCT_UE_CLN_NEW_RAT <= -0.00129,general,3.180653037937956,0.07001194743130228,0.8115981721324115,
50,mean_zcd_M12_SME_BZN_SAA_PCE_RT,ZCD,2.132912595985798,1.0,1.8535867422587553,백반/가정식
51,mean_zcd_M12_SME_RY_SAA_PCE_RT,ZCD,-7.415848082232378,1.0,6.292737990238797,백반/가정식
52,mean_zcd_RC_M1_SAA,ZCD,-4.292079553322109,1.0,3.549897906543615,백반/가정식
53,mean_zcd_RC_M1_TO_UE_CT,ZCD,-1.0463659558331242,1.0,0.849425760579485,백반/가정식
54,mean_zcd_RC_M1_UE_CUS_CN,ZCD,-1.2522080177094592,1.0,1.011969862601291,백반/가정식
55,slope_zcd_M1_SME_RY_CNT_RAT,ZCD,-26.43753121229176,1.0,0.5337838580070727,백반/가정식
56,slope_zcd_RC_M1_SAA,ZCD,408.4897195530769,1.0,11.546778226998464,백반/가정식
57,slope_zcd_RC_M1_TO_UE_CT,ZCD,60.82287941717631,1.0,1.8095240147911449,백반/가정식
58,slope_zcd_RC_M1_UE_CUS_CN,ZCD,-41.25826276014604,1.0,1.2030733676629572,백반/가정식
59,slope_zcd_M1_SME_RY_SAA_RAT > -0.06334,ZCD,-0.47687999230198375,0.9826589595375722,0.06225125147324582,백반/가정식
60,slope_zcd_M1_SME_RY_SAA_RAT > -0.06101,ZCD,-0.01714606136679216,0.9826589595375722,0.0022382230228773716,백반/가정식
61,mean_zcd_M1_SME_RY_SAA_RAT <= 2.68472,ZCD,-1.4400703594999968,0.9826589595375722,0.18798478345812727,백반/가정식
62,mean_zcd_M12_SME_RY_SAA_PCE_RT > -1.33479,ZCD,-1.3120644715760783,0.9826589595375722,0.17127507273878573,백반/가정식
63,mean_zcd_M12_SME_RY_SAA_PCE_RT > -1.34449,ZCD,-0.5148801838997867,0.9855491329479769,0.061445809545583825,백반/가정식
64,slope_zcd_M1_SME_RY_SAA_RAT > -0.05861,ZCD,-0.16520227868515963,0.9826589595375722,0.021565275877354795,백반/가정식
65,mean_zcd_M1_SME_RY_SAA_RAT <= 2.78439,ZCD,-0.5358697775785397,0.9826589595375722,0.06995169606492885,백반/가정식
66,slope_zcd_M1_SME_RY_SAA_RAT > -0.06065,ZCD,-0.11972949550826913,0.9826589595375722,0.015629321955135236,백반/가정식
