,rule,type,coef,support,importance,category
0,mean_all_M12_FME_1020_RAT,general,0.08225808642982314,1.0,0.026374370757444,
1,mean_all_M12_FME_30_RAT,general,0.24473550987256087,1.0,0.07846533752651647,
2,mean_all_M12_FME_40_RAT,general,0.003127102249156889,1.0,0.0010026380195388845,
3,mean_all_M12_FME_50_RAT,general,0.30484306855724147,1.0,0.09774015772481222,
4,mean_all_M12_MAL_1020_RAT,general,0.153576048787029,1.0,0.0492413766744649,
5,mean_all_M12_MAL_30_RAT,general,0.13900799951207554,1.0,0.04456946190559043,
6,mean_all_M12_MAL_40_RAT,general,0.004872882909535484,1.0,0.00156239322231829,
7,mean_all_M12_SME_BZN_SAA_PCE_RT,general,-0.16233922633992595,1.0,0.13665118202358556,
8,mean_all_M12_SME_RY_SAA_PCE_RT,general,-0.010557207030413683,1.0,0.008608163402519122,
9,mean_all_M1_SME_RY_CNT_RAT,general,-0.18398506831514436,1.0,0.11532603847834022,
10,mean_all_M1_SME_RY_SAA_RAT,general,-0.11440315596805352,1.0,0.0787048944429637,
11,mean_all_MCT_UE_CLN_NEW_RAT,general,0.28992471699881334,1.0,0.07843692414991091,
12,mean_all_MCT_UE_CLN_REU_RAT,general,1.0740965277089536,1.0,0.29058020043729815,
13,mean_all_RC_M1_AV_NP_AT,general,0.034223305103037165,1.0,0.026166493068786843,
14,mean_all_RC_M1_UE_CUS_CN,general,-0.020353428606150352,1.0,0.0170792701752417,
15,slope_all_M12_SME_BZN_SAA_PCE_RT,general,4.832199542451009,1.0,0.14958524035116255,
16,slope_all_M12_SME_RY_SAA_PCE_RT,general,-6.395008426878631,1.0,0.23833346389021173,
17,slope_all_M1_SME_RY_CNT_RAT,general,-5.042615807821615,1.0,0.09995929152842166,
18,slope_all_M1_SME_RY_SAA_RAT,general,3.0622327639898295,1.0,0.07013396842253422,
19,slope_all_MCT_UE_CLN_NEW_RAT,general,15.077440789439503,1.0,0.2685944766387702,
20,slope_all_MCT_UE_CLN_REU_RAT,general,10.862379679035955,1.0,0.19353528319758137,
21,slope_all_RC_M1_AV_NP_AT,general,4.703598664738105,1.0,0.13448209710636586,
22,slope_all_RC_M1_SAA,general,0.16602930875780134,1.0,0.004784192223245139,
23,slope_all_RC_M1_SHC_FLP_UE_CLN_RAT,general,0.15146634180734034,1.0,0.004677150385246454,
