mean_all,mean_bzn,mean_zcd,std_all,std_bzn,std_zcd,slope_all,slope_bzn,slope_zcd,r2_all,r2_bzn,r2_zcd,mct,attribute,bzn,zcd,ENCODED_MCT
0.6008782492772672,0.0,1.1216386268035172,0.33168362433706294,0.0,0.33857883969877045,0.017653430993885773,0.0,0.012848483623865115,0.14163813258004254,0.0,0.07200358668440965,04393D7C92,RC_M1_SAA,,한식-육류/고기,04393D7C92
-0.27928388228664874,0.0,0.512569891633583,0.2029273365012701,0.0,0.27040878211016856,-0.0003029498616955728,0.0,-0.0017198707247801654,0.00011143725641460378,0.0,0.0020226466906089202,04393D7C92,RC_M1_AV_NP_AT,,한식-육류/고기,04393D7C92
0.39265665609580463,0.0,0.5472215546731402,0.040537551152914734,0.0,0.09304979304540484,-0.00413789480376932,0.0,-0.011598553899407773,0.5209713924990937,0.0,0.7768673534221824,04393D7C92,RC_M1_UE_CUS_CN,,한식-육류/고기,04393D7C92
0.44774988743401306,0.0,0.5768829157579998,0.19197029042264765,0.0,0.2591693821436678,0.008029779665792436,0.0,0.004777418942794673,0.08748008928742712,0.0,0.01698983933816922,04393D7C92,RC_M1_TO_UE_CT,,한식-육류/고기,04393D7C92
-0.5950360299939875,0.0,-0.8178879944844031,0.08131777512984055,0.0,0.052505502313898056,-0.008283346758220714,0.0,-0.0028641536454819838,0.5188128369602596,0.0,0.14878289069364414,04393D7C92,M1_SME_RY_SAA_RAT,,한식-육류/고기,04393D7C92
0.5116683974514478,0.0,1.055613915492644,0.20812849576487583,0.0,0.1764199656481358,0.028382504667968916,0.0,0.023452273999226114,0.9298402668620327,0.0,0.8835771110929419,04393D7C92,M12_SME_RY_SAA_PCE_RT,,한식-육류/고기,04393D7C92
-0.5689323478805314,0.0,-0.7630821872291823,0.02808260028795261,0.0,0.05919113228133814,0.0010687190609549066,0.0,0.006158694420377108,0.07241399002009796,0.0,0.5412950065486031,04393D7C92,M1_SME_RY_CNT_RAT,,한식-육류/고기,04393D7C92
-1.0532461841051626,0.0,-0.9473950707782038,0.004574272005145281,0.0,0.014286490507193592,-0.0005324410682246713,0.0,-0.0009757468706395161,0.6774373298090963,0.0,0.23323473257103633,04393D7C92,M12_SME_BZN_SAA_PCE_RT,,한식-육류/고기,04393D7C92
0.15402237197018923,0.0,0.09200930126605185,0.005391979299297462,0.0,0.01753449639288173,-0.0003239310159256809,0.0,0.0006248555188449639,0.18045903807915176,0.0,0.06349545360947784,04393D7C92,M12_MAL_1020_RAT,,한식-육류/고기,04393D7C92
0.15402660372125795,0.0,0.0920078995808782,0.005394760035770365,0.0,0.01753073248603509,-0.00032583930987405325,0.0,0.0006214338295239507,0.1824033018471708,0.0,0.06282892983024746,04393D7C92,M12_MAL_30_RAT,,한식-육류/고기,04393D7C92
0.1540167843092123,0.0,0.0919946777727777,0.005393965812808842,0.0,0.017529732581081283,-0.0003253944647414461,0.0,0.0006223821670934984,0.1819591699694525,0.0,0.06302802570253718,04393D7C92,M12_MAL_40_RAT,,한식-육류/고기,04393D7C92
0.15403089243101395,0.0,0.09201346853450361,0.005394495295105517,0.0,0.017528086885492577,-0.00032522135402276645,0.0,0.000622108404831586,0.18172993625897926,0.0,0.0629844160605112,04393D7C92,M12_MAL_50_RAT,,한식-육류/고기,04393D7C92
0.15399484780708464,0.0,0.09196778284258965,0.005389118366216946,0.0,0.01753533686272304,-0.0003239645183814459,0.0,0.000624535750167864,0.18068805971277901,0.0,0.06342440256323612,04393D7C92,M12_MAL_60_RAT,,한식-육류/고기,04393D7C92
0.15403003053254102,0.0,0.09207308314992413,0.005390949292180878,0.0,0.017528652483654095,-0.0003227512470964365,0.0,0.0006261423705526281,0.17921541768021332,0.0,0.06379977229403155,04393D7C92,M12_FME_1020_RAT,,한식-육류/고기,04393D7C92
0.154042517508189,0.0,0.09208883593158239,0.005392732275429961,0.0,0.017523678091545657,-0.00032423666714370876,0.0,0.0006237907178066448,0.1807492639313243,0.0,0.06335739130038076,04393D7C92,M12_FME_30_RAT,,한식-육류/고기,04393D7C92
